tiempo,referencia,hc,f_pid,y_hat
126,40,41.3984409235711,0.0,43.031433
151,40,39.2798697673279,0.0,38.693974
176,40,37.0023963253825,12.9575703616449,37.22242
201,40,34.5554730211991,53.6691022427915,35.068493
226,40,31.8790491302245,97.4149081677146,31.660976
251,40,34.0942811051142,100.0,34.63329
276,40,40.3090788465892,100.0,41.178276
301,40,45.3130307308437,0.0,44.719513
326,40,49.4309605452113,0.0,50.037304
351,40,47.7732665081884,0.0,45.2252
376,40,45.9744327616213,0.0,44.97728
401,39,44.1083447728779,0.0,43.34415
426,39,42.1108964210455,0.0,41.63307
451,39,40.0197365364397,0.0,39.814213
476,39,37.7842729990238,0.0,37.90067
501,39,35.4154715693929,21.7814260493309,35.864494
526,39,32.8294354585456,64.1266116017522,33.81737
551,39,30.9783321324508,100.0,30.87835
576,39,34.5796018199187,100.0,35.25047
601,39,40.8997547352916,79.1096032034783,41.59849
626,39,45.7938278826848,0.0,45.552025
651,39,48.5168691278635,0.0,48.0216
676,39,46.7695587927699,0.0,44.683807
701,39,44.9547599071318,0.0,44.06835
726,39,43.0043814404242,0.0,42.404743
751,39,40.9744390513094,0.0,40.630306
776,39,38.8139097587666,0.0,38.770348
801,27,36.5012759343334,3.34255606061116,36.800537
826,27,33.9791342156,0.0,34.46505
851,27,31.2727512386569,0.0,32.40466
876,27,28.2666624871938,0.0,29.950256
901,27,24.8473661455471,0.0,27.241291
926,27,20.879253337866,38.4431592885337,24.172998
951,27,15.9557251477809,100.0,18.509792
976,27,18.7747565276022,100.0,18.265331
1001,27,31.4799860238743,100.0,33.558197
1026,27,38.6993008223001,0.0,37.87716
1051,27,44.0438514106738,0.0,44.287064
1076,27,42.0715341679734,0.0,39.989895
1101,27,39.9770534937043,0.0,39.77245
1126,27,37.7520120678818,0.0,37.86191
1151,27,35.3753525658811,0.0,35.832443
1176,27,32.7513978174412,0.0,33.667274
1201,24,29.9284848187641,0.0,31.29748
1226,24,26.7472174717972,0.0,28.73501
1251,24,23.1189218987281,0.0,25.875923
1276,24,18.7349005159199,15.5558162564202,22.622013
1301,24,13.1452445619385,93.9222712103489,18.741074
1326,24,5.36420130228455,100.0,9.205947
1351,24,27.0803590291236,100.0,27.731005
1376,24,35.8417603706781,0.0,34.502483
1401,24,41.842940498778,0.0,41.70079
1426,24,39.7702489780211,0.0,37.81944
1451,24,37.5070005276946,0.0,37.666042
1476,24,35.1051609912721,0.0,35.614048
1501,24,32.4792889937303,0.0,33.42282
1526,24,29.6102738022431,0.0,31.046515
1551,24,26.3909357678214,0.0,28.451595
1576,24,22.6656089343891,0.0,25.555088
1601,47,18.2329742397328,23.5317711083767,22.224749
1626,47,12.439438317055,100.0,17.375935
1651,47,10.3841407440705,100.0,10.95067
1676,47,28.8411653304921,100.0,30.597958
1701,47,36.9276178005855,100.0,35.80136
1726,47,42.6758854748955,100.0,41.841618
1751,47,47.2260006954705,77.2777479978501,46.52525
