tiempo,referencia,hc,f_pid,y_hat
21,40,39.1616586618134,0.0,39.098904
31,40,41.3615142592304,3.59648434082061,41.33362
41,40,40.5211418289397,0.0,40.72469
51,40,39.7160680483517,0.0,39.50972
61,40,38.8476519017016,1.21806807257117,38.802315
71,40,37.883917536324,4.94357334169994,37.89895
81,40,36.9449624998798,9.07799376916986,36.92609
91,40,36.009531466968,13.1061108755155,35.961025
101,40,34.9803080937814,17.1191100067073,34.99398
111,40,33.9719680209014,21.5344782776779,33.88201
121,40,33.0601231124225,25.8602571903328,32.947144
131,40,32.3543036896184,29.7720718477076,32.283344
141,40,31.9120982937161,32.8000371715373,31.810717
151,40,31.5182834493099,34.6970983199581,31.601978
161,40,31.377822303467,36.3865640024604,31.351225
171,40,31.3399749245135,36.9891423181267,31.358278
181,40,31.447196651664,37.1515075738369,31.413002
191,40,31.5067162709732,36.6915263643613,31.558847
201,40,31.541694112592,36.4361871975249,31.584562
211,40,31.6885831464342,36.2861322569804,31.600777
221,40,31.7624218740558,35.6559783017975,31.762066
231,40,31.7762450830772,35.3392101603005,31.791336
241,40,31.7451235506715,35.2799085935987,31.777784
251,40,31.8613773440204,35.4134199676193,31.73462
261,40,31.7685991215642,34.9146911941525,31.886982
271,40,31.7702786117984,35.3127097684896,31.728422
281,40,31.7296887191949,35.305504755385,31.76777
291,40,31.7630410040423,35.4796353946538,31.718462
301,40,31.7527650531158,35.3365540926583,31.774992
311,40,31.7488713685329,35.3806379221331,31.749216
321,40,31.7426764329496,35.3973418289939,31.748625
331,40,31.7458049734904,35.423918102646,31.742773
341,40,31.7640614015014,35.4104966637261,31.749058
351,40,31.7622321882102,35.332176587559,31.76975
361,40,31.7972695307458,35.3400239125781,31.760157
371,40,31.7561107520326,35.1897137131003,31.802992
381,40,31.7503908251586,35.3662848737802,31.739325
391,40,31.6740343145098,35.3908233600694,31.749037
401,29,31.7050717303845,35.7183927907529,31.659609
411,29,31.7901204690416,0.0,31.72785
421,29,31.7723127983515,0.0,31.801516
431,29,30.6351325128049,0.0,30.714628
441,29,29.4225904728186,0.0,29.45952
451,29,28.2110928845379,0.0,28.20888
461,29,26.917612108912,3.38441152533243,26.965796
471,29,25.5316736653459,8.93344405276766,25.592424
481,29,24.0238191802857,14.8791199756661,24.070414
491,29,22.409591012514,21.3478157165742,22.447443
501,29,20.8741011505316,28.2728545563151,20.808777
511,29,19.8266775233862,34.8601060642193,19.764399
521,29,19.4857593377457,39.353553424673,19.570223
531,29,19.8935544474399,40.816092441071,19.872648
541,29,20.7986946885441,39.0666514204827,20.695904
551,29,21.6868856580112,35.1835997861459,21.708559
561,29,22.3908413672554,31.3732605271318,22.322672
571,29,22.6527795523599,28.3532905344742,22.675814
581,29,22.6166506662925,27.2295757203761,22.6083
591,29,22.2644846289026,27.3845686416051,22.349009
601,29,21.875317045576,28.8953609420079,21.819653
611,29,21.4062576200772,30.5648898744788,21.462204
621,29,21.1195469636148,32.5771548098689,21.113527
631,29,21.0641303560931,33.8071435260926,21.026766
641,29,21.1864544577967,34.0448807723607,21.159685
651,29,21.4032000968756,33.5201103760522,21.390608
661,29,21.6333224369357,32.5902715844035,21.635
671,29,21.7917451635863,31.603046745546,21.82232
681,29,21.8713623428544,30.9234132482149,21.887625
691,29,21.8258110173483,30.5818555491545,21.878717
701,29,21.7786596869015,30.7772707355757,21.762512
711,29,21.6097885845423,30.9795499431925,21.702604
721,29,21.5674552714098,31.7040069723134,21.519356
731,29,21.5421538006211,31.8856168856521,21.531631
741,29,21.5175439276873,31.9941601953355,21.54822
751,29,21.478233093775,32.0997365502214,21.534584
761,29,21.5414178425174,32.2683800277052,21.499216
771,29,21.5488392321966,31.9973174556002,21.594542
781,29,21.6850444234919,31.9654796938767,21.591543
791,29,21.7021235459688,31.3811594232197,21.74398
801,26,21.6893664037885,31.3078899877936,21.72163
811,26,21.6206362171544,18.4926181277472,21.670982
821,26,21.642815215981,18.7874706284077,21.681177
831,26,20.3285309739171,18.6923227234417,20.279072
841,26,18.9602160677801,24.3306021218954,18.8918
851,26,17.5497237507781,30.2006730692232,17.5036
861,26,16.7551604776374,36.2516851091618,16.723846
871,26,16.8509269720535,39.6603615509356,16.856785
881,26,17.6524966062288,39.2495232898907,17.681992
891,26,18.8459648659717,35.8107895592783,18.808762
901,26,19.8343098258896,30.6908107249813,19.81588
911,26,20.2934352532426,26.4508108469335,20.347488
921,26,20.3174685102288,24.4811627635892,20.245949
931,26,19.7678891884856,24.3780600911185,19.86437
941,26,19.1015757326034,26.7357553813969,19.015131
951,26,18.3180844893776,29.5942401071313,18.37816
961,26,17.8780557552331,32.9554175405703,17.833801
971,26,17.8247499169469,34.84314081005,17.830708
981,26,18.1504187114938,35.0718228562979,18.168077
991,26,18.7379693336955,33.6747037276916,18.728662
1001,26,19.2802082000408,31.1541115584462,19.307535
1011,26,19.5895584664688,28.8279068218248,19.616747
1021,26,19.5766923596865,27.5007941788488,19.630957
1031,26,19.3976979224608,27.5559897769448,19.32428
1041,26,18.9919466012233,28.323875912643,19.03913
1051,26,18.6201081251535,30.0645490807521,18.602175
1061,26,18.342980604248,31.6597361430916,18.378534
1071,26,18.3900626557375,32.8486132077761,18.287691
1081,26,18.4850747748003,32.6466312068859,18.598967
1091,26,18.8045347413341,32.2390292161066,18.774555
1101,26,19.0365940606107,30.8685459596767,19.094568
1111,26,19.1898533669311,29.8730114799802,19.224756
1121,26,19.2607991410662,29.2155290558657,19.20914
1131,26,19.1486261613756,28.9111716848259,19.15995
1141,26,19.0006022043245,29.3923937676988,18.933163
1151,26,18.8154706506445,30.0274165434479,18.798613
1161,26,18.6552606660023,30.8216309087352,18.662933
1171,26,18.6043602067964,31.5089317428503,18.584211
1181,26,18.6656950168915,31.7272947128435,18.646801
1191,26,18.7807498377354,31.4641683775357,18.788872
1201,32,18.8908786288056,30.970583196115,18.914188
1211,32,19.0239059207705,56.2381306824239,18.985975
1221,32,18.9740395824109,55.6674435998947,19.142916
1231,32,21.6792149786116,55.8813701914572,21.623703
1241,32,23.8688304967372,44.276167741756,23.520575
1251,32,25.6209062994499,34.8827171689972,25.4369
1261,32,26.4222381746753,27.36631197536,26.423737
1271,32,26.5062637845792,23.9285982306428,26.523062
1281,32,26.0624467062795,23.5681283641554,26.084517
1291,32,25.4034461231711,25.472103630061,25.395958
1301,32,24.6543848650196,28.2992161315961,24.681787
1311,32,24.1015157033794,31.5126889290657,24.120102
1321,32,23.6772734883599,33.8844976325024,23.781271
1331,32,23.6775534601106,35.7044967349361,23.567474
1341,32,23.6645468851024,35.7032956561257,23.785343
1351,32,23.9806935687845,35.7590938629107,23.851486
1361,32,24.2585069585745,34.4028245899143,24.24507
1371,32,24.4438645903924,33.2110051477154,24.466799
1381,32,24.5997141707884,32.4158209072165,24.546555
1391,32,24.6725864700525,31.7472262073177,24.633787
1401,32,24.6161856874752,31.4346040434748,24.649864
1411,32,24.5668975865188,31.6765634007314,24.53262
1421,32,24.382097813712,31.8880093538344,24.479948
1431,32,24.3478077673805,32.6808003791757,24.27857
1441,32,24.2514703238431,32.8279046779376,24.306093
1451,32,24.249870909066,33.2411923107132,24.228199
1461,32,24.3068622226157,33.248053800107,24.265911
1471,32,24.3490985182192,33.0035610649785,24.350584
1481,32,24.345051190023,32.8223673568396,24.383085
1491,32,24.3977316411455,32.8397303948012,24.353996
1501,32,24.3401687339027,32.6137312594857,24.413162
1511,32,24.3685507992052,32.8606761315576,24.325058
1521,32,24.3318216327905,32.7389170714097,24.371536
1531,32,24.4266834312664,32.8964851953288,24.325592
1541,32,24.369983349052,32.4895280798673,24.450222
1551,32,24.3790417947865,32.7327714325671,24.35407
1561,32,24.3485246253222,32.6939107003657,24.369946
1571,32,24.3442342138282,32.8248293573679,24.338007
1581,32,24.319124430737,32.8432352226769,24.341803
1591,32,24.3083270581387,32.9509561921384,24.317472
1601,20,24.32928865589,32.9972769205851,24.313953
1611,20,24.3315872423862,0.0,24.347406
1621,20,24.3856460275892,0.0,24.322186
1631,20,22.8725130767324,0.0,22.807482
1641,20,21.1773504599301,0.0,21.198065
1651,20,19.3957351379296,0.0,19.365461
1661,20,17.4327917429337,2.59229625828205,17.422897
1671,20,15.2701750848914,11.0133234228144,15.176234
1681,20,12.7235251768811,20.2909488858159,12.714977
1691,20,9.75736752127576,31.2160769911799,9.676464
1701,20,8.02241389869266,43.940893333727,8.189651
1711,20,9.75979305668829,51.3838443746085,9.829113
1721,20,13.570383875756,43.9304877868072,13.520992
1731,20,17.2059758688037,27.5830531730069,17.104713
1741,20,18.931325748261,11.986363522832,18.98404
1751,20,18.5333350933553,4.58461253996051,18.590734
1761,20,16.5733976344612,6.29199244950591,16.520466
1771,20,14.2263107935245,14.7001241481616,14.26897
1781,20,11.4384678543213,24.76912669578,11.521216
1791,20,8.26253392852333,36.7289729049614,8.209358
1801,20,8.13572256222904,50.3537294466349,8.027684
1811,20,11.2427028449791,50.8977502080374,11.182954
1821,20,15.4477935474034,37.5688047950398,15.497511
1831,20,18.3553243222653,19.5289656816394,18.377731
1841,20,19.2973336476596,7.05565865748165,19.29206
1851,20,17.9351652186244,3.0144386515404,17.994041
1861,20,15.7977425879399,8.85814121210115,15.785996
1871,20,13.330076907242,18.0276842977377,13.371096
1881,20,10.5381283476484,28.6139700679317,10.41009
1891,20,8.21547786782579,40.5914293885882,8.209366
1901,20,9.2066350405983,50.5555999470274,9.383374
1911,20,12.6314951743122,46.3035356758333,12.641495
1921,20,16.3098495829867,31.6108857022008,16.376715
1931,20,18.5936504627468,15.8307452889871,18.531578
1941,20,18.6706090270847,6.03323951481641,18.69503
1951,20,16.9326869195592,5.70308727380662,16.765675
1961,20,14.6466156919069,13.1587731150911,14.669293
1971,20,11.9914260579311,22.9660186817192,12.027762
1981,20,8.80060700400078,34.3567822114757,8.743201
1991,20,7.96387173053302,48.0453959528366,7.9810624
2001,17,10.5915179349159,51.6349902760134,10.499481
2011,17,14.7549465618559,27.4923880592106,14.698649
2021,17,17.9513303146898,9.631279249638,17.828487
2031,17,17.6596510727345,0.0,17.520699
2041,17,15.563619162212,0.0,15.56854
2051,17,13.0110583195562,6.16207379411067,13.110318
2061,17,10.0574415044832,17.112559809104,10.1079855
2071,17,6.36223492618457,29.7835759457672,6.271546
2081,17,2.89139550082816,45.6360121666682,2.7087507
2091,17,6.95623500040229,60.5259133014472,7.006079
2101,17,12.4837146689866,43.0877518482742,12.369592
2111,17,17.6212172649656,19.3748640700476,17.640448
2121,17,19.2937927388132,0.0,19.198328
2131,17,17.8949722475937,0.0,17.977404
2141,17,15.7809628346078,0.0,15.7490835
2151,17,13.2809878974133,5.22966943953264,13.360533
2161,17,10.4829767172563,15.9545619200969,10.455268
2171,17,6.77892866622224,27.9580298829703,6.8548846
2181,17,2.60002377816928,43.8483960219066,2.651465
2191,17,6.23299799669949,61.7758979916538,6.2588353
2201,17,11.8120430295469,46.1904385941592,11.791062
2211,17,17.3908467772318,22.2563354032439,17.440237
2221,17,19.4131398289775,0.0,19.335953
2231,17,18.3707013237848,0.0,18.528915
2241,17,16.380352707247,0.0,16.25666
2251,17,14.0344761019497,2.65828688591045,14.062059
2261,17,11.2683415187035,12.722097522636,11.375764
2271,17,7.84540138055763,24.588814884762,7.9268966
2281,17,3.04950912041299,39.2732280774078,2.996933
2291,17,4.91724882135613,59.8476058734283,5.0339036
2301,17,10.327398811826,51.8350025563822,10.291936
2311,17,16.3646076976432,28.6254590972663,16.37581
2321,17,19.1950104244032,2.7258329771105,19.132072
2331,17,19.014658585177,0.0,19.00503
2341,17,16.9491743369069,0.0,16.997847
2351,17,14.7396987060159,0.218042094669247,14.696754
2361,17,12.1413074769467,9.6966925511917,12.1247
2371,17,8.9972681735818,20.8437909238987,8.977557
2381,17,4.75219568360053,34.3317195353341,4.803849
2391,17,3.88169036183227,52.5430805173537,3.8733783
2401,25,8.69566658849619,56.2775483477396,8.727868
2411,25,14.4462784272031,69.9455903353513,14.493976
2421,25,18.3568414085884,45.2754655472989,18.1799
2431,25,22.4718515242795,28.4991503571556,22.142487
2441,25,23.5876760246074,10.845756960841,23.72499
2451,25,23.2325688071428,6.05886985443437,23.261307
2461,25,21.7017792647747,7.58227981735725,21.560112
2471,25,19.9231559986118,14.1493669541168,19.967245
2481,25,18.0617815884457,21.7796607659553,18.00851
2491,25,15.9015390039408,29.7649569855681,16.065895
2501,25,14.7034781761697,39.0323976730939,14.62642
2511,25,14.8963680113635,44.1720786242322,14.811722
2521,25,16.4765845379289,43.3445812312506,16.359724
2531,25,18.3451910288592,36.565452332285,18.383877
2541,25,19.8083057766511,28.5491304861938,19.76582
2551,25,20.4297625874693,22.2723682181668,20.338406
2561,25,20.1155957979645,19.6063184997568,20.176176
2571,25,19.1648172090658,20.9540940267323,19.151293
2581,25,17.8387334400455,25.0329341731077,17.809511
2591,25,16.6069271761207,30.7218335422048,16.648008
2601,25,15.9483629498898,36.0062824144424,15.944765
2611,25,16.2268404419066,38.8315229449729,16.143805
2621,25,17.1347773255101,37.6368545042208,17.16269
2631,25,18.2846488944338,33.7418052735618,18.339058
2641,25,19.0851319673539,28.8088562428792,19.139196
2651,25,19.4424608339927,25.3747838600516,19.428913
2661,25,19.2999552639847,23.8418430221713,19.26456
2671,25,18.648802403555,24.4531919175056,18.696575
2681,25,17.8698622565461,27.2466376887489,17.819576
2691,25,17.1326835414033,30.588290919417,17.166252
2701,25,16.7221929431652,33.7507876073798,16.772776
2711,25,16.8922625560512,35.5117922738213,16.80179
2721,25,17.3660992526063,34.7821936345404,17.470964
2731,25,18.1354719120166,32.7494342063189,18.055773
2741,25,18.7106159424998,29.448825497449,18.711164
2751,25,18.9192288456748,26.9814576066757,18.994488
2761,25,18.8368457879248,26.0865082520553,18.791687
2771,25,18.3747847033038,26.4399315698024,18.418482
2781,25,17.8715889471717,28.4221736228268,17.812191
2791,25,17.3851450170728,30.5808834166334,17.425959
2801,11,17.2074516101592,32.6677278767578,17.148548
2811,11,17.2206441157226,0.0,17.301767
2821,11,17.6199716983806,0.0,17.521189
2831,11,15.4825534695357,0.0,15.40385
2841,11,13.0116370077737,0.0,13.007619
2851,11,10.102956742672,0.0,10.058172
2861,11,6.28696842113643,3.84831557393711,6.325925
2871,11,0.534218635358787,20.2189054733247,0.5719389
2881,11,0.0,44.8982020543108,0.0
2891,11,2.1674988660642,47.19,2.1021776
2901,11,10.9820600475856,37.8914298645846,11.017816
2911,11,14.8650522491403,0.0769623958579129,14.812458
2921,11,16.2409043073942,0.0,16.181532
2931,11,13.8556265434177,0.0,13.866424
2941,11,11.1181893921939,0.0,11.060106
2951,11,7.78160219126662,0.0,7.6838126
2961,11,2.85070633177931,13.8069265994662,2.9576006
2971,11,0.0,34.9604698366667,0.0
2981,11,0.0563181804256598,47.19,0.0
2991,11,8.19907531575716,46.9483950059739,8.234951
3001,11,13.341752868439,12.0159668954018,13.359942
3011,11,16.3688660971253,0.0,16.35681
3021,11,14.0620520774079,0.0,14.058124
3031,11,11.3781263054694,0.0,11.316367
3041,11,7.99547564410137,0.0,8.02736
3051,11,3.27650598952705,12.8894094868051,3.243411
3061,11,0.066341809914378,33.133789304929,0.0
3071,11,0.0333423133760479,46.9053936354673,0.0
3081,11,7.68696665743368,47.0469614756168,7.6502657
3091,11,13.0190709649037,14.2129130396095,13.064555
3101,11,16.1431586016159,0.0,16.17813
3111,11,13.8641153434029,0.0,13.98659
3121,11,11.1151661202353,0.0,11.090715
3131,11,7.60743502083249,0.0,7.6771207
3141,11,2.66945890950224,14.5541037606286,2.6295624
3151,11,0.0,35.7380212782354,0.0
3161,11,0.0,47.19,0.0
3171,11,8.44506960547796,47.19,8.479919
3181,11,13.4434924374294,10.9606513924996,13.458863
3191,11,16.4402811653827,0.0,16.436623
3201,34,14.2072895581417,0.0,14.118381
3211,34,11.5339321078582,84.910727795572,11.500298
3221,34,8.22914863130259,96.3794312572883,8.217428
3231,34,18.6733808640507,100.0,19.021915
3241,34,24.8369744306542,65.7511960932225,24.793537
3251,34,29.4148656798606,39.3093796924933,29.514385
3261,34,31.1776826190202,19.670226233398,31.152859
3271,34,31.438892200829,12.1077415644035,31.365103
3281,34,30.556015973327,10.9871524584435,30.55287
3291,34,29.3870684653475,14.7746914744273,29.417124
3301,34,28.1607027298001,19.7894762836592,28.13874
3311,34,26.9015734015782,25.0505852891577,26.943344
3321,34,25.8398113348647,30.4522501072296,25.920801
3331,34,25.3072179501896,35.0072093734303,25.215757
3341,34,25.0546362736057,37.2920349936867,25.122856
3351,34,25.1860966409579,38.3756103862316,25.145777
3361,34,25.4597229928036,37.8116454102908,25.479023
3371,34,25.8839827237635,36.6377883608724,25.803232
3381,34,26.2030719750543,34.8177141150545,26.197172
3391,34,26.4827871794712,33.448821227017,26.381233
3401,34,26.4980782607255,32.2488430000684,26.553968
3411,34,26.4827635344552,32.1832442614875,26.439783
3421,34,26.4587538291139,32.2489444371871,26.406813
3431,34,26.3385413387731,32.3519460731014,26.37928
3441,34,26.273907235047,32.8676576566636,26.240383
3451,34,26.2199508803305,33.1449379616483,26.205242
3461,34,26.1162059895605,33.3764107233821,26.179209
3471,34,26.0824810503894,33.8214763047855,26.080032
3481,34,26.1519612116261,33.9661562938295,26.081764
3491,34,26.1183330239033,33.6680864021242,26.194164
3501,34,26.1436656331156,33.8123513274549,26.134802
3511,34,26.177290144057,33.7036744339341,26.166483
3521,34,26.2107336872875,33.5594252819954,26.20437
3531,34,26.2324602703189,33.4159524815366,26.2302
3541,34,26.2628030981853,33.322745440332,26.240463
3551,34,26.2345859203179,33.1925747087852,26.265244
3561,34,26.2508185553581,33.3136264018363,26.217142
3571,34,26.1505581131783,33.2439883975136,26.241854
3581,34,26.2124246080178,33.6741056944651,26.117823
3591,34,26.1290026056985,33.4086984316037,26.224817
3601,30,26.1935821798843,33.7665788215535,26.117159
3611,30,26.2130612641254,16.3295324482964,26.214832
3621,30,26.2414538243437,16.245967176902,26.252575
3631,30,24.8983464904278,16.1241630935655,24.969704
3641,30,23.5811636144366,21.8860935560646,23.443605
3651,30,22.205665878212,27.536808094067,22.146439
3661,30,21.2732967188761,33.4376933824705,21.239609
3671,30,20.7976987300891,37.4375570760214,20.939053
3681,30,20.9913035366605,39.4778724479179,20.94693
3691,30,21.5867173081235,38.6473078277265,21.567295
3701,30,22.3310910376867,36.0929827481503,22.2405
3711,30,22.9061144497532,32.8996194483243,22.852226
3721,30,23.2127815030943,30.4327690105586,23.214546
3731,30,23.2999174454047,29.1171673517254,23.263695
3741,30,23.1457898258285,28.7433541592138,23.180141
3751,30,22.8828154760101,29.4045616471957,22.910774
3761,30,22.5273220398786,30.5327216079167,22.603115
3771,30,22.3012276176299,32.0577884489208,22.273432
3781,30,22.1825512303491,33.0277335203676,22.194332
3791,30,22.2278148297829,33.5368552218024,22.17878
3801,30,22.2911332484234,33.3426743802314,22.317955
3811,30,22.435925338209,33.0710383642637,22.403927
3821,30,22.5102568263795,32.4498802990833,22.554426
3831,30,22.6104612792173,32.1309982148321,22.587101
3841,30,22.6812913282016,31.7011211121579,22.656622
3851,30,22.6693444443992,31.3972602020153,22.696249
3861,30,22.607371695125,31.4485123335275,22.638079
3871,30,22.5797748552338,31.714375427914,22.553537
3881,30,22.5405012222214,31.832765871047,22.541195
3891,30,22.5131369631752,32.0012497566701,22.51272
3901,30,22.4695855079421,32.1186424279783,22.497358
3911,30,22.4554725404416,32.3054781709282,22.460676
3921,30,22.4131343637994,32.3660228015057,22.462946
3931,30,22.4385153198634,32.5476535793005,22.424393
3941,30,22.5227000464196,32.4387692777859,22.472122
3951,30,22.564443172114,32.07761680086,22.57635
3961,30,22.6158237277193,31.8985387916312,22.595467
3971,30,22.6113678739341,31.6781162080843,22.627865
3981,30,22.5807703379505,31.6972318208226,22.597261
3991,30,22.506445820263,31.8284952501923,22.550392
4001,10,22.4819969082839,32.1473474310719,22.469667
4011,10,22.4994765170936,0.0,22.469753
4021,10,22.4944868762695,0.0,22.509579
4031,10,20.8674182236495,0.0,20.75077
4041,10,18.9940883784192,0.0,19.027262
4051,10,17.046778936983,0.0,16.976732
4061,10,14.7602523279966,0.0,14.805166
4071,10,12.1516089964982,0.0,12.135376
4081,10,9.02069365707121,0.0,9.028381
4091,10,4.76809235208259,4.20122421116453,4.7898083
4101,10,0.0,22.4448838095657,0.0
4111,10,0.0,42.9,0.0
4121,10,3.34023226982084,42.9,3.3770533
4131,10,10.7194164086624,28.5704035624686,10.72285
4141,10,13.9950103733711,0.0,14.009534
4151,10,14.0784452144783,0.0,14.331129
4161,10,11.3285796370702,0.0,11.450552
4171,10,8.0173031167633,0.0,7.9480834
4181,10,3.33872510969169,8.50576962908542,3.307323
4191,10,0.0117385444121104,28.5768692794227,0.0
4201,10,0.0002861754632825,42.849641644472,0.0
4211,10,6.06911639109476,42.8987723072625,6.0706964
4221,10,11.5995401610112,16.8634906822035,11.527195
4231,10,14.5429984630417,0.0,14.578217
4241,10,12.4614261455587,0.0,12.609497
4251,10,9.39014640484329,0.0,9.49174
4261,10,5.34714045769613,2.61627192322229,5.3182545
