tiempo,referencia,hc,f_pid,hc_prev,hc_prev_prev,hc_prev_3,hc_prev_4,freq_prev,freq_prev_prev,freq_prev_3,freq_prev_4,y_hat_1,error
0,40,1e-06,0.0,,,,,,,,,,
10,40,-0.240445473214253,0.01,1e-06,,,,0.0,,,,,
20,40,0.166729019835863,0.01,-0.240445473214253,1e-06,,,0.01,0.0,,,0.0,0.166729019835863
30,40,0.0216009737892651,0.01,0.166729019835863,-0.240445473214253,1e-06,,0.01,0.01,0.0,,0.0,0.0216009737892651
40,40,19.2297697669232,99.99,0.0216009737892651,0.166729019835863,-0.240445473214253,1e-06,0.01,0.01,0.01,0.0,19.16079,0.06898027717710775
50,40,25.6664283341515,99.99,19.2297697669232,0.0216009737892651,0.166729019835863,-0.240445473214253,99.99,0.01,0.01,0.01,25.687569,-0.021140330399280316
60,40,29.8086622900861,99.99,25.6664283341515,19.2297697669232,0.0216009737892651,0.166729019835863,99.99,99.99,0.01,0.01,30.12912,-0.3204575829607741
70,40,30.8275712242664,50.0,29.8086622900861,25.6664283341515,19.2297697669232,0.0216009737892651,99.99,99.99,99.99,0.01,30.682266,0.14530498891483745
80,40,31.303925096121,50.0,30.8275712242664,29.8086622900861,25.6664283341515,19.2297697669232,50.0,99.99,99.99,99.99,31.535473,-0.23154777375204816
90,40,32.3266085726667,50.0,31.303925096121,30.8275712242664,29.8086622900861,25.6664283341515,50.0,50.0,99.99,99.99,32.060883,0.26572600430732507
100,40,34.2327732757494,75.0,32.3266085726667,31.303925096121,30.8275712242664,29.8086622900861,50.0,50.0,50.0,99.99,34.323982,-0.09120896302012937
